"","species","Longitude","Latitude","occ","coords.x1","coords.x2"
"139","Lutjanus Griseus",-86.837712,20.93645,1,-86.837712,20.93645
"140","Lutjanus Griseus",-81.814207,26.173869,1,-81.814207,26.173869
"141","Lutjanus Griseus",-81.531537,24.619612,1,-81.531537,24.619612
"142","Lutjanus Griseus",-80.4561,25.007739,1,-80.4561,25.007739
"143","Lutjanus Griseus",-82.762635,27.992538,1,-82.762635,27.992538
"144","Lutjanus Griseus",-80.118758,26.001369,1,-80.118758,26.001369
"145","Lutjanus Griseus",-80.736038,25.001392,1,-80.736038,25.001392
"146","Lutjanus Griseus",-82.739033,27.614179,1,-82.739033,27.614179
"147","Lutjanus Griseus",-80.499084,28.40025,1,-80.499084,28.40025
"148","Lutjanus Griseus",-66.13714,18.466231,1,-66.13714,18.466231
"149","Lutjanus Griseus",-86.709402,29.35907,1,-86.709402,29.35907
"150","Lutjanus Griseus",-80.938636,29.058963,1,-80.938636,29.058963
"151","Lutjanus Griseus",-77.52946,24.01342,1,-77.52946,24.01342
"152","Lutjanus Griseus",-75.875463,21.113943,1,-75.875463,21.113943
"153","Lutjanus Griseus",-63.248946,17.614251,1,-63.248946,17.614251
"154","Lutjanus Griseus",-86.562767,16.337748,1,-86.562767,16.337748
"155","Lutjanus Griseus",-61.570998,15.872867,1,-61.570998,15.872867
"156","Lutjanus Griseus",-61.759129,17.003047,1,-61.759129,17.003047
"157","Lutjanus Griseus",-62.680069,17.274406,1,-62.680069,17.274406
"158","Lutjanus Griseus",-88.363533,16.513778,1,-88.363533,16.513778
"159","Lutjanus Griseus",-81.235663,29.715317,1,-81.235663,29.715317
"160","Lutjanus Griseus",-83.069672,29.102961,1,-83.069672,29.102961
"161","Lutjanus Griseus",-75.549028,35.796687,1,-75.549028,35.796687
"162","Lutjanus Griseus",-76.6706,34.717545,1,-76.6706,34.717545
"163","Lutjanus Griseus",-61.534901,16.23617,1,-61.534901,16.23617
"164","Lutjanus Griseus",-86.777702,21.036685,1,-86.777702,21.036685
"165","Lutjanus Griseus",-76.320213,23.959147,1,-76.320213,23.959147
"166","Lutjanus Griseus",-61.649707,10.661775,1,-61.649707,10.661775
"167","Lutjanus Griseus",-82.70957,9.641679,1,-82.70957,9.641679
"168","Lutjanus Griseus",-77.93298,25.819924,1,-77.93298,25.819924
"169","Lutjanus Griseus",-79.818663,25.902401,1,-79.818663,25.902401
"170","Lutjanus Griseus",-81.37159,19.383848,1,-81.37159,19.383848
"171","Lutjanus Griseus",-77.809203,24.747705,1,-77.809203,24.747705
